iteration;mean_deviation;median_deviation;count_below_threshold
1;0.395366533888;0.0230702698725;5
2;103.933607526;0.994500204961;1
3;0.559213484896;0.668657061281;4
4;110.19299326;0.674174457786;2
5;3.59754421015;0.977244866227;3
6;16.7063103567;0.997134314351;2
7;0.632751226659;0.988644910182;1
8;0.386134783816;0.0147537868078;4
9;0.486332116101;0.518717625974;2
10;1631.81164182;0.965866986373;1
11;204.384928787;0.965339139797;1
12;3.49558395859;0.929666483882;1
13;578.455427907;0.987943276435;1
14;3.96570458199;0.974478714887;1
15;0.536574733858;0.615216888827;2
16;3.60104559934;0.718125482997;1
17;1097.65320442;0.970019894244;3
18;0.534799242791;0.490273600251;1
19;1.09976898027;0.992525531816;2
20;0.570047572981;0.941103213769;3
21;228.905111344;0.999151635335;1
22;333.619545901;0.0327902859453;4
23;0.608882341835;0.929026502493;4
24;26.278131973;0.94575117052;3
25;1340.44344826;0.99837137937;3
26;1062.14485142;0.974854772994;3
27;0.497957884976;0.615358514833;2
28;5.25303314315;0.788520085125;2
29;103.466889247;0.847529122248;1
30;0.700582765276;0.924739711459;1
31;1006.4385534;0.951565767076;2
32;0.580387971999;0.911874150909;2
33;112.179463578;0.996303172488;0
34;0.546078902136;0.731631818087;1
35;1.43171394652;0.974863002214;0
36;50.1599619874;0.396686179157;3
37;0.656478012024;0.975794352222;2
38;100.635580036;0.996138920214;1
39;257.507630352;0.995923744523;2
40;0.858799564428;0.991648864876;1
41;0.495227449971;0.566498104425;4
42;853.606882637;0.599506128824;0
43;2351.52553722;0.975703898376;3
44;1947.24685137;0.0482482265744;5
45;129.506021774;0.993677292727;1
46;53.6214783246;0.99890447798;3
47;309.810439448;0.916619404527;2
48;9.89044906254;0.986096021187;2
49;0.722579406738;0.933344109888;1
50;57.0431020379;0.960673090381;1
51;2879.77947404;0.445379126566;2
52;5.43646334316;0.98231764003;0
53;0.975536339461;0.998230545968;1
54;0.606666785252;0.85885187233;3
55;3.18129747725;0.997867950464;1
56;1.49135713594;0.960718527238;2
57;0.662132054874;0.960828791459;1
58;1.9036983345;0.944368748606;0
59;0.426093022149;0.0241760692552;4
60;70.6289970101;0.871136471735;2
61;5.53837829002;0.974669127431;3
62;0.557680008282;0.00729968702861;5
63;7.13259940705;0.747089813204;3
64;5.00736591594;0.994796789613;1
65;6.57900350314;0.999332464233;1
66;0.257367928095;0.0140980159653;5
67;87.9799107371;0.984029632336;1
68;436.965469714;0.990061157612;1
69;0.377727779482;0.179232728346;2
70;1.43429889812;0.996925125198;2
71;8.93788359187;0.721875140511;2
72;10.2526417764;0.970143963864;2
73;1.23197327584;0.893250077227;3
74;1.76327172876;0.704596598463;3
75;0.587450978717;0.899188663501;2
76;1493.52935808;0.996112273363;2
77;318.888218393;0.959863031578;1
78;1.95237458357;0.972128970622;1
79;130.220455374;0.996034834002;2
80;7.46854525901;0.996981845988;1
81;3109.70901829;0.913887120247;1
82;1.80323223674;0.993699624181;3
83;0.952713286428;0.994409937534;1
84;0.439265131763;0.0441228679957;3
85;1.34844123327;0.998746418662;0
86;3.81624644428;0.71932931176;2
87;0.562485406686;0.895807470383;4
88;1136.47862337;0.980233798469;0
89;1.81997038928;0.996855190792;0
90;67.4642710959;0.987591866002;1
91;1980.99351123;0.988001078284;1
92;990.14236688;0.952181188888;2
93;41.0109392044;0.974372264316;0
94;7.50439965657;0.962705436969;1
95;1.99639319555;0.988444651443;1
96;1.59368389035;0.06340182487;2
97;434.49615609;0.944935805715;3
98;0.893219779039;0.935582638744;1
99;2.44192464705;0.598651108624;2
100;3.14090593939;0.927643012468;1
101;218.204874507;0.999355642585;2
102;0.533890913726;0.670817183831;2
103;1148.3077653;0.993944343633;1
104;370.477669489;0.994864878911;3
105;0.949750520866;0.984486069082;2
106;1.54461052554;0.984502709054;1
107;0.889504026131;0.416610530316;4
108;0.566110837011;0.846237728392;3
109;496.33894178;0.744532497997;2
110;102.438963868;0.990975969249;1
111;0.725223944585;0.972785321055;2
112;122.634935785;0.992068243038;0
113;2886.52295609;0.986345737016;2
114;1410.74051978;0.972885774743;2
115;1792.01928405;0.925536823933;3
116;8.83151480201;0.923566720701;1
117;2395.68987271;0.993633181423;2
118;733.037618022;0.992476814792;1
119;103.560270437;0.976689864868;3
120;47.7393320256;0.977295331605;2
121;110.028626672;0.198151514074;3
122;1.80921804247;0.724598966385;2
123;14.8818852375;0.172810392137;4
124;65.4808639744;0.991067882301;0
125;56.7442313224;0.978393602332;1
126;5.5581474768;0.998786404896;1
127;12.3427709148;0.795340374478;4
128;327.89428844;0.989702220714;2
129;0.372068426627;0.0148206915839;3
130;73.5053924595;0.994892561502;2
131;3.75458120094;0.95157864431;1
132;4.12778761471;0.978111446737;0
133;1.68519175753;0.875962440604;2
134;2496.54425977;0.0908816486389;5
135;0.651948831764;0.852294790298;1
136;5.02282412045;0.994690785803;1
137;2.49427466192;0.931909976978;2
138;0.645630646303;0.920355142315;0
139;0.900378830794;0.958292398684;1
140;11.0602288041;0.999815907974;3
141;0.438317807112;0.173385919833;3
142;9.0663647185;0.941463505121;2
143;277.125093468;0.750813305682;2
144;0.62039220155;0.919183403148;2
145;159.194902805;0.9848347905;0
146;1.0196408434;0.997198750445;2
147;1.82135843484;0.980937891164;2
148;6.49461470225;0.932981304947;2
149;21.0498897557;0.979965375241;1
150;2.47136502237;0.990502501247;1
151;2.61113318591;0.721001536792;1
152;0.93450940295;0.998303473224;0
153;77.9524077539;0.382058073245;2
154;84.6747013267;0.0783873271307;6
155;590.783172181;0.997345291886;0
156;112.249110742;0.990853465018;2
157;6.11181926671;0.951336626971;1
158;0.507172103098;0.621062618423;2
159;0.958023530249;0.973550148939;2
160;2.21321624631;0.997058124788;0
161;2.57299088127;0.995949481777;0
162;4.08635098455;0.663126945826;1
163;348.664492634;0.653082332985;1
164;13.2985564129;0.996375364974;0
165;2.10218081925;0.480457487066;0
166;3.16287726937;0.998315407011;2
167;1.40455478987;0.959598523481;3
168;2.20840724989;0.999724244698;2
169;2.47723493148;0.989467229474;1
170;419.655638175;0.988105048585;1
171;6.32279745982;0.999777192651;0
172;149.894105716;0.986909913394;2
173;0.574560991417;0.833421984177;3
174;5.74469524143;0.629199734383;2
175;0.489827440764;0.478379447942;2
176;425.270017249;0.729975190956;1
177;0.73333119731;0.931636932429;1
178;1.03875755394;0.933935827046;2
179;1437.47640346;0.970499874014;4
180;1.31985861495;0.986347340843;3
181;9.12869728406;0.999158710309;2
182;2.35978026931;0.89274622003;2
183;1.27817971671;0.976224543818;1
184;63.520033712;0.964452532152;2
185;0.614718410868;0.928692743032;0
186;8.46227257613;0.929818897984;2
187;0.792750595592;0.916908733325;4
188;0.323041270631;0.0108514101477;3
189;4.53388158726;0.987736291571;2
190;3.35254536354;0.454215702119;3
191;7.82857182481;0.989281190633;1
192;0.445259003677;0.172200888583;3
193;1.03994003401;0.764389633579;2
194;6.39340924752;0.912546659758;1
195;106.707993129;0.96764296349;1
196;0.603697268797;0.98319581411;3
197;491.187657796;0.988965470095;2
198;258.095231073;0.930653043056;2
199;11.1801638818;0.982862023595;0
200;10.4703409904;0.757660183832;4
201;0.642609059022;0.944071808498;4
202;2317.64980593;0.985465757447;0
203;0.52716752188;0.653575270788;1
204;171.50231698;0.992086262356;1
205;0.922788706542;0.977936853878;1
206;0.823580187471;0.986290835884;0
207;2539.98000913;0.998464440156;3
208;936.614479124;0.939603456079;0
209;9.60824920367;0.976430424793;1
210;0.635006005849;0.826238358404;1
